Neighborhoods,Year Built,Years Vacant
Wells Goodfellow,1910,9
Baden,1902,14
Baden,1902,14
Baden,1905,9
Jeff Vanderlou,1902,24
Baden,1902,5
Penrose,1920,2
Wells Goodfellow,1912,15
Baden,1929,13
Kingsway East,1906,10
Baden,1914,8
Kingsway West,1907,6
Mark Twain,1914,19
Mark Twain,1911,7
Walnut Park West,1942,10
Walnut Park West,1928,6
Walnut Park West,1913,8
Walnut Park West,1908,12
Walnut Park West,1953,6
Walnut Park West,1929,4
Walnut Park West,1926,12
Baden,1907,3
Walnut Park East,1922,3
Walnut Park East,1911,3
Walnut Park East,1924,11
Walnut Park East,1926,6
Walnut Park East,1925,8
Walnut Park East,1924,10
Walnut Park East,1923,3
Baden,1909,15
Mark Twain,1929,8
Walnut Park East,1926,12
Walnut Park East,1922,16
Walnut Park West,1923,8
Walnut Park West,1925,9
Penrose,1910,8
Walnut Park West,1930,9
Wells Goodfellow,1924,5
Wells Goodfellow,1924,5
College Hill,1890,11
O'Fallon,1909,2
O'Fallon,1890,4
Fountain Park,1895,4
Kingsway East,1884,11
Hamilton Heights,1895,6
Baden,1902,8
Baden,1907,20
Penrose,1906,6
Penrose,1905,2
Penrose,1890,5
Penrose,1890,7
Penrose,1905,2
Penrose,1903,12
Penrose,1905,9
Penrose,1892,12
Penrose,1898,10
Penrose,1896,16
O'Fallon,1893,13
O'Fallon,1894,14
O'Fallon,1890,10
Kingsway West,1891,13
Wells Goodfellow,1891,6
Wells Goodfellow,1909,6
Mark Twain,1910,7
Mark Twain,1912,4
Mark Twain,1906,14
Mark Twain,1905,6
Mark Twain,1905,6
Mark Twain,1909,3
Mark Twain,1909,2
Mark Twain,1909,8
Mark Twain,1908,2
Walnut Park East,1922,10
Walnut Park East,1909,2
Walnut Park East,1922,5
Walnut Park East,1914,8
Walnut Park East,1899,7
Wells Goodfellow,1909,6
Wells Goodfellow,1924,4
Wells Goodfellow,1925,13
Wells Goodfellow,1925,13
Wells Goodfellow,1925,7
Wells Goodfellow,1925,7
Walnut Park East,1917,11
Mark Twain,1912,5
Mark Twain,1925,13
Mark Twain,1925,13
Walnut Park East,1909,7
Walnut Park East,1905,10
Walnut Park East,1925,3
Walnut Park East,1959,3
Walnut Park East,1907,3
Walnut Park East,1909,12
Walnut Park East,1906,2
Walnut Park East,1911,9
Walnut Park East,1921,8
Walnut Park East,1908,14
Walnut Park West,1928,6
Walnut Park West,1925,8
Walnut Park West,1907,2
Walnut Park West,1924,3
Walnut Park West,1915,8
Walnut Park West,1921,3
Walnut Park West,1914,10
Walnut Park West,1929,3
Walnut Park West,1911,18
Walnut Park West,1927,10
Walnut Park West,1924,9
Walnut Park West,1924,14
Walnut Park West,1908,4
Walnut Park East,1904,3
Walnut Park East,1928,8
Walnut Park East,1922,12
Baden,1924,17
Baden,1958,17
Baden,1909,4
Walnut Park West,1909,9
Penrose,1907,3
Penrose,1907,6
Penrose,1908,8
Mark Twain,1908,8
Walnut Park East,1922,16
Walnut Park East,1912,5
Walnut Park East,1923,11
Walnut Park East,1922,13
Walnut Park East,1922,3
Walnut Park East,1911,5
Walnut Park East,1928,20
Baden,1909,9
Walnut Park East,1962,1
Mark Twain,1910,5
Walnut Park East,1913,16
Walnut Park East,1925,3
Walnut Park East,1913,10
Walnut Park East,1909,3
Walnut Park East,1909,2
Baden,1904,11
Walnut Park West,1916,2
Walnut Park East,1906,7
Walnut Park East,1927,8
Fairground Neighborhood,1893,6
Jeff Vanderlou,1907,6
Fairground Neighborhood,1897,9
College Hill,1895,8
Dutchtown,1890,7
Dutchtown,1890,8
Fairground Neighborhood,1909,15
Fairground Neighborhood,1906,11
Fairground Neighborhood,1911,20
O'Fallon,1916,5
O'Fallon,1910,5
O'Fallon,1908,14
O'Fallon,1908,14
Jeff Vanderlou,1902,6
Greater Ville,1911,7
Kingsway East,1889,12
Hamilton Heights,1909,3
Penrose,1928,7
Penrose,1931,4
Penrose,1905,12
Greater Ville,1922,14
Greater Ville,1916,3
Greater Ville,1911,11
Kingsway East,1909,14
Kingsway East,1912,10
Kingsway East,1906,5
Kingsway East,1909,12
Walnut Park East,1903,3
Walnut Park East,1908,2
Walnut Park East,1922,3
Mark Twain,1928,2
Wells Goodfellow,1910,4
Wells Goodfellow,1920,10
Wells Goodfellow,1926,5
Kingsway East,1907,10
Kingsway West,1906,9
Walnut Park East,1931,11
Walnut Park East,1925,2
Walnut Park East,1929,4
Wells Goodfellow,1923,10
Walnut Park East,1915,7
Greater Ville,1892,17
Kingsway East,1885,12
Baden,1906,4
Penrose,1900,7
Penrose,1905,7
Mark Twain,1923,8
Walnut Park East,1923,10
Baden,1924,1
Baden,1904,14
Mark Twain,1905,6
Baden,1907,11
Walnut Park East,1950,3
Mark Twain,1911,7
Walnut Park West,1915,8
Walnut Park West,1924,8
Walnut Park West,1909,15
Walnut Park West,1924,10
Walnut Park West,1909,10
Baden,1958,8
Baden,1930,3
Baden,1936,1
Walnut Park East,1920,3
Walnut Park East,1921,6
Walnut Park East,1923,3
Walnut Park East,1926,3
Baden,1900,1
Baden,1906,20
Walnut Park East,1916,8
Walnut Park East,1909,3
Marine Villa,1884,18
Fairground Neighborhood,1893,13
Hyde Park,1903,8
Hyde Park,1890,14
Hyde Park,1870,5
Marine Villa,1890,8
Fairground Neighborhood,1909,6
O'Fallon,1893,10
Greater Ville,1902,14
Fountain Park,1897,9
Kingsway East,1890,18
Academy,1892,7
Academy,1892,2
Hamilton Heights,1895,2
West End,1900,6
Hamilton Heights,1902,2
Baden,1880,6
Penrose,1909,8
Greater Ville,1902,17
Kingsway East,1892,7
Kingsway East,1906,7
Kingsway East,1904,7
Kingsway East,1890,7
Kingsway West,1903,16
Wells Goodfellow,1893,2
Academy,1898,9
Wells Goodfellow,1947,11
O'Fallon,1908,20
Kingsway West,1907,4
Mark Twain,1908,1
Walnut Park East,1909,3
Walnut Park East,1907,3
Walnut Park East,1908,7
Walnut Park West,1925,9
Walnut Park West,1927,6
Baden,1904,9
Mark Twain,1911,3
Baden,1907,10
Greater Ville,1894,10
Penrose,1923,7
Greater Ville,1907,19
Baden,1929,15
Walnut Park East,1906,10
Baden,1914,4
O'Fallon,1896,25
O'Fallon,1896,25
Walnut Park East,1927,1
The Ville,1926,10
Fountain Park,1892,5
Hamilton Heights,1895,7
Mark Twain,1910,15
Baden,1907,11
Mark Twain I-70 Industrial,1930,1
College Hill,1900,6
Penrose,1928,2
Hamilton Heights,1895,2
West End,1906,8
Mark Twain,1925,7
Walnut Park West,1960,5
Walnut Park East,1939,11
Greater Ville,1895,6
Vandeventer,1899,12
Vandeventer,1892,11
Mount Pleasant,1892,5
North Riverfront,1893,15
Greater Ville,1902,12
The Ville,1900,8
The Ville,1890,9
The Ville,1886,19
The Ville,1884,28
The Ville,1889,8
Greater Ville,1927,23
Vandeventer,1891,6
Jeff Vanderlou,1908,6
Jeff Vanderlou,1907,15
Hyde Park,1908,20
College Hill,1902,16
College Hill,1899,15
College Hill,1899,15
Jeff Vanderlou,1914,19
Jeff Vanderlou,1904,14
Greater Ville,1897,24
Greater Ville,1908,7
Greater Ville,1895,11
Greater Ville,1895,7
Greater Ville,1910,27
Greater Ville,1908,3
The Ville,1885,19
The Ville,1910,12
The Ville,1909,10
The Ville,1911,10
The Ville,1911,16
The Ville,1922,20
The Ville,1905,11
The Ville,1905,10
The Ville,1897,26
The Ville,1900,16
The Ville,1900,18
The Ville,1897,20
The Ville,1928,25
The Ville,1928,25
The Ville,1890,16
The Ville,1902,13
The Ville,1927,8
The Ville,1892,18
The Ville,1884,14
The Ville,1883,12
Greater Ville,1899,20
Greater Ville,1907,21
Greater Ville,1902,19
Greater Ville,1890,7
Greater Ville,1929,20
Greater Ville,1890,27
Greater Ville,1900,16
Greater Ville,1892,12
Greater Ville,1895,27
Greater Ville,1895,10
Greater Ville,1898,10
Greater Ville,1890,17
Vandeventer,1884,17
Lewis Place,1894,10
Lewis Place,1903,10
Lewis Place,1895,7
Lewis Place,1897,18
Lewis Place,1898,12
Lewis Place,1903,9
Lewis Place,1907,19
Lewis Place,1907,13
Fountain Park,1912,21
Fountain Park,1901,9
Fountain Park,1901,6
Fountain Park,1901,5
Academy,1892,18
Academy,1892,7
Academy,1896,11
Academy,1896,9
Academy,1892,5
Academy,1903,15
Academy,1903,9
Wells Goodfellow,1906,15
Hamilton Heights,1898,8
Hamilton Heights,1891,2
Hamilton Heights,1907,9
Hamilton Heights,1898,6
Hamilton Heights,1909,9
West End,1908,21
Hamilton Heights,1903,14
Hamilton Heights,1904,5
West End,1911,3
Hamilton Heights,1910,10
Hamilton Heights,1910,10
Hamilton Heights,1908,12
O'Fallon,1908,17
Greater Ville,1939,24
Greater Ville,1939,14
Greater Ville,1939,14
Greater Ville,1893,12
Greater Ville,1893,12
Greater Ville,1907,12
Greater Ville,1907,12
Greater Ville,1915,9
Greater Ville,1904,26
Greater Ville,1911,12
Greater Ville,1911,15
Wells Goodfellow,1908,20
Wells Goodfellow,1908,10
Wells Goodfellow,1909,6
Wells Goodfellow,1909,6
Wells Goodfellow,1908,9
Wells Goodfellow,1892,2
Wells Goodfellow,1926,12
Wells Goodfellow,1926,18
Vandeventer,1902,6
Wells Goodfellow,1905,12
Wells Goodfellow,1905,12
Wells Goodfellow,1891,7
Wells Goodfellow,1913,12
Wells Goodfellow,1920,15
Academy,1902,19
Academy,1899,17
Academy,1895,9
Academy,1901,25
Wells Goodfellow,1910,14
Wells Goodfellow,1911,11
Wells Goodfellow,1909,21
Lewis Place,1904,5
Mark Twain,1919,12
Academy,1902,11
Wells Goodfellow,1942,10
Wells Goodfellow,1909,16
Wells Goodfellow,1908,10
Hamilton Heights,1907,16
Wells Goodfellow,1913,14
Wells Goodfellow,1912,10
Wells Goodfellow,1924,17
The Ville,1886,21
The Ville,1884,11
Wells Goodfellow,1902,17
Wells Goodfellow,1906,12
Wells Goodfellow,1908,6
Wells Goodfellow,1906,12
Wells Goodfellow,1909,14
Wells Goodfellow,1909,18
Wells Goodfellow,1903,15
Wells Goodfellow,1903,14
Walnut Park East,1914,3
West End,1906,14
Patch,1893,5
Fairground Neighborhood,1907,5
Hyde Park,1890,13
Greater Ville,1910,10
Jeff Vanderlou,1928,7
Lewis Place,1894,5
Fountain Park,1900,19
Jeff Vanderlou,1909,29
The Ville,1885,17
Fairground Neighborhood,1898,28
Greater Ville,1892,20
The Ville,1907,21
Greater Ville,1900,13
Greater Ville,1898,29
Fountain Park,1893,13
Lewis Place,1897,29
Academy,1892,22
West End,1904,18
West End,1895,4
Hamilton Heights,1904,10
Hamilton Heights,1898,9
West End,1897,11
Lewis Place,1898,14
Lewis Place,1897,6
Vandeventer,1888,21
Academy,1897,15
Academy,1900,11
Academy,1901,23
Academy,1897,18
Vandeventer,1890,10
Academy,1902,20
Greater Ville,1903,7
Greater Ville,1885,23
Wells Goodfellow,1908,22
Wells Goodfellow,1902,20
Wells Goodfellow,1901,11
Academy,1891,2
Fairground Neighborhood,1916,22
College Hill,1886,10
Hamilton Heights,1908,7
Fairground Neighborhood,1898,8
Wells Goodfellow,1908,8
Hyde Park,1890,19
Hyde Park,1890,19
Jeff Vanderlou,1907,6
Jeff Vanderlou,1908,8
Jeff Vanderlou,1900,14
Hyde Park,1892,20
Hyde Park,1897,27
Hyde Park,1887,23
Hyde Park,1892,21
Hyde Park,1963,12
Hyde Park,1892,24
Hyde Park,1913,10
Fairground Neighborhood,1887,12
Fairground Neighborhood,1897,11
Fairground Neighborhood,1908,7
College Hill,1897,18
College Hill,1898,26
College Hill,1883,5
College Hill,1883,16
Hyde Park,1893,14
Hyde Park,1893,11
College Hill,1892,18
College Hill,1910,11
College Hill,1902,11
Fairground Neighborhood,1923,12
Fairground Neighborhood,1917,21
Fairground Neighborhood,1917,6
Fairground Neighborhood,1917,3
Fairground Neighborhood,1915,8
Dutchtown,1890,8
Dutchtown,1890,5
Dutchtown,1885,13
College Hill,1894,22
Fairground Neighborhood,1891,6
Fairground Neighborhood,1880,11
Fairground Neighborhood,1893,12
College Hill,1884,27
College Hill,1884,27
College Hill,1903,20
College Hill,1908,8
College Hill,1903,5
Fairground Neighborhood,1892,3
Fairground Neighborhood,1908,6
Fairground Neighborhood,1909,11
Fairground Neighborhood,1894,11
College Hill,1902,15
College Hill,1902,15
College Hill,1906,27
College Hill,1906,27
College Hill,1915,8
College Hill,1898,5
O'Fallon,1902,22
O'Fallon,1893,6
O'Fallon,1904,15
O'Fallon,1895,13
O'Fallon,1913,20
O'Fallon,1893,23
Penrose,1924,7
O'Fallon,1915,14
O'Fallon,1908,12
O'Fallon,1914,12
O'Fallon,1906,9
O'Fallon,1910,14
O'Fallon,1908,5
O'Fallon,1908,20
Greater Ville,1905,7
Greater Ville,1897,6
Greater Ville,1924,8
Greater Ville,1913,5
Greater Ville,1927,17
Jeff Vanderlou,1908,17
Jeff Vanderlou,1908,17
Greater Ville,1895,5
Greater Ville,1911,8
Greater Ville,1905,5
Greater Ville,1911,10
Greater Ville,1909,8
The Ville,1906,3
Greater Ville,1911,8
Greater Ville,1900,9
Covenant Blu-Grand Center,1905,6
Lewis Place,1894,6
Lewis Place,1901,7
Kingsway East,1884,17
Kingsway East,1909,14
Kingsway East,1904,11
Academy,1892,7
Hamilton Heights,1903,7
West End,1903,8
Baden,1902,9
Penrose,1904,9
O'Fallon,1911,16
O'Fallon,1911,14
Greater Ville,1908,12
Greater Ville,1909,15
Greater Ville,1911,13
Greater Ville,1899,4
Greater Ville,1896,9
Greater Ville,1916,9
Greater Ville,1906,17
Kingsway East,1908,9
Kingsway East,1894,11
Kingsway East,1905,14
Kingsway East,1909,14
Kingsway East,1906,7
Kingsway West,1906,19
Wells Goodfellow,1923,3
Wells Goodfellow,1911,7
Walnut Park West,1927,16
Kingsway East,1922,6
Wells Goodfellow,1927,9
Jeff Vanderlou,1914,17
Wells Goodfellow,1929,7
Baden,1929,6
Kingsway East,1906,10
Kingsway East,1909,10
Hamilton Heights,1907,5
Walnut Park East,1923,5
Walnut Park West,1912,12
Walnut Park East,1924,5
Walnut Park East,1927,23
Penrose,1907,10
Penrose,1907,10
Walnut Park East,1926,14
Walnut Park East,1918,11
Walnut Park East,1926,16
Walnut Park East,1926,12
Mark Twain,1923,2
Mark Twain,1915,17
Penrose,1875,13
Kingsway West,1924,22
Kingsway West,1924,22
Kingsway West,1925,10
Jeff Vanderlou,1890,6
Hyde Park,1890,17
College Hill,1883,18
Fairground Neighborhood,1972,6
Kingsway East,1888,18
Penrose,1906,9
Penrose,1905,8
Penrose,1909,12
Kingsway East,1893,19
O'Fallon,1894,23
Mark Twain,1906,8
Mark Twain,1910,8
Walnut Park East,1903,3
Walnut Park East,1899,12
Walnut Park East,1921,3
Wells Goodfellow,1908,14
Wells Goodfellow,1915,13
Walnut Park East,1906,3
Walnut Park East,1968,15
Walnut Park East,1950,3
Walnut Park East,1909,12
Walnut Park East,1909,10
Walnut Park East,1915,14
Walnut Park East,1924,12
Walnut Park East,1909,18
Walnut Park West,1906,3
Walnut Park West,1960,10
Walnut Park West,1909,9
Walnut Park East,1924,12
Walnut Park East,1908,1
Baden,1907,9
Baden,1912,19
Walnut Park East,1907,11
Penrose,1907,20
Walnut Park East,1910,8
Mark Twain,1910,16
Mark Twain,1911,8
Walnut Park East,1923,6
College Hill,1883,5
Baden,1930,4
Fairground Neighborhood,1894,11
Dutchtown,1895,6
Fairground Neighborhood,1891,6
Fairground Neighborhood,1899,20
Fairground Neighborhood,1894,28
O'Fallon,1923,12
O'Fallon,1910,15
Fairground Neighborhood,1906,23
Jeff Vanderlou,1908,14
Kingsway East,1909,15
Kingsway East,1909,15
Penrose,1927,8
Penrose,1914,8
Penrose,1912,12
Penrose,1927,8
Penrose,1912,10
O'Fallon,1914,5
O'Fallon,1902,9
Greater Ville,1928,2
Mark Twain,1911,3
Walnut Park West,1911,16
Walnut Park East,1940,4
Mark Twain,1923,2
Baden,1917,17
Mark Twain,1925,5
O'Fallon,1897,15
Walnut Park East,1905,10
Walnut Park West,1924,14
Walnut Park West,1927,12
Walnut Park West,1927,14
Walnut Park West,1948,8
Baden,1929,13
Penrose,1907,9
Hyde Park,1894,26
Hyde Park,1895,8
College Hill,1889,10
College Hill,1885,1
O'Fallon,1905,19
Jeff Vanderlou,1905,27
Jeff Vanderlou,1905,27
Greater Ville,1902,10
Greater Ville,1897,6
The Ville,1893,7
Greater Ville,1901,7
Greater Ville,1901,7
Fountain Park,1894,8
Lewis Place,1891,6
Kingsway East,1889,19
Academy,1894,8
Academy,1891,7
Penrose,1884,17
Greater Ville,1897,26
Kingsway East,1899,13
Vandeventer,1890,6
Walnut Park West,1915,7
Penrose,1917,8
Fairground Neighborhood,1900,23
College Hill,1887,25
College Hill,1887,25
College Hill,1887,25
College Hill,1887,25
Kingsway East,1889,16
Penrose,1896,10
Carondelet,1890,13
Walnut Park West,1906,6
Walnut Park East,1911,8
Walnut Park West,1912,25
Kingsway East,1900,21
O'Fallon,1905,17
Walnut Park East,1928,2
Greater Ville,1906,14
The Ville,1884,5
Greater Ville,1906,28
Covenant Blu-Grand Center,1907,28
Covenant Blu-Grand Center,1907,28
Covenant Blu-Grand Center,1907,28
Covenant Blu-Grand Center,1907,28
Vandeventer,1892,23
Vandeventer,1892,23
Greater Ville,1916,13
West End,1904,12
Academy,1901,29
College Hill,1916,11
O'Fallon,1906,23
Penrose,1928,15
O'Fallon,1914,8
Mark Twain,1910,14
Mark Twain,1923,12
Jeff Vanderlou,1910,18
Wells Goodfellow,1902,13
Academy,1897,7
Fairground Neighborhood,1915,11
Greater Ville,1904,12
College Hill,1911,2
Fairground Neighborhood,1892,2
Mark Twain,1921,0
South Hampton,1947,0
Princeton Heights,1914,0
Dutchtown,1937,0
Hyde Park,1870,0
Dutchtown,1895,0
Walnut Park East,1922,7
Walnut Park West,1926,1
O'Fallon,1892,1
Walnut Park East,1912,0
Wells Goodfellow,1942,2
Baden,1914,0
Walnut Park East,1916,5
Walnut Park West,1950,0
Mount Pleasant,1894,0
Dutchtown,1926,0
Wells Goodfellow,1907,1
Walnut Park West,1939,0
Mark Twain I-70 Industrial,1939,0
Gravois Park,1910,7
Gravois Park,1905,3
Mark Twain,2007,3
Walnut Park East,2009,14
Dutchtown,1908,7
Hyde Park,2006,7
Hyde Park,2006,7
Hyde Park,2006,7
Visitation Park,1960,13
Dutchtown,1901,11
Hyde Park,2006,17
Mount Pleasant,1890,3
Hyde Park,1890,6
Greater Ville,1924,1
Kingsway East,1924,4
Carondelet,1950,7
The Ville,1996,7
Hi-Pointe,1948,1
The Ville,1889,4
Forest Park South East,1888,2
Jeff Vanderlou,1913,3
Mount Pleasant,1898,8
Mount Pleasant,1890,1
Mount Pleasant,1922,2
Dutchtown,1909,4
Carondelet,1925,1
College Hill,1963,2
College Hill,1903,2
Benton Park West,1897,4
O'Fallon,1912,9
Jeff Vanderlou,1908,12
Greater Ville,1906,1
The Ville,1928,3
The Ville,1926,9
Greater Ville,1890,3
Vandeventer,1905,6
Academy,1896,5
Academy,1891,8
The Ville,1895,7
West End,1903,4
Forest Park South East,1897,7
Kings Oak,1911,3
Tower Grove South,1905,4
Penrose,1907,2
Penrose,1911,2
Penrose,1883,3
Penrose,1914,2
Penrose,1927,1
O'Fallon,1908,13
O'Fallon,1892,1
Greater Ville,1912,5
Greater Ville,1964,4
Greater Ville,1911,11
Kingsway East,1897,12
Wells Goodfellow,1958,2
Wells Goodfellow,1906,1
Wells Goodfellow,1910,2
Walnut Park West,1928,7
Botanical Heights,1897,5
Forest Park South East,1906,3
Jeff Vanderlou,1904,4
Greater Ville,1906,1
Wells Goodfellow,1908,1
Baden,1958,1
Baden,1905,1
Baden,1928,1
Walnut Park West,1951,1
O'Fallon,1910,3
Penrose,1890,5
Baden,1917,1
North Pointe,1952,1
Southwest Garden,1926,1
Baden,1946,1
Tower Grove South,1916,2
Tower Grove South,1914,3
Clayton-Tamm,1929,4
Forest Park South East,1971,6
Cheltenham,1909,5
Baden,1997,8
Penrose,1910,1
O'Fallon,1972,9
Wells Goodfellow,2002,10
Walnut Park West,1918,3
Walnut Park East,1997,2
Walnut Park East,1997,13
Walnut Park East,1997,1
Baden,1927,9
Franz Park,1930,4
Hi-Pointe,1922,1
Baden,1926,3
Bevo Mill,1908,1
Bevo Mill,1925,4
Hi-Pointe,1946,1
Tower Grove South,1920,3
Clayton-Tamm,1942,2
Jeff Vanderlou,1911,8
Wells Goodfellow,1954,1
Carondelet,1918,2
Carondelet,1899,1
College Hill,1950,1
Greater Ville,1908,1
Kingsway East,1893,4
The Ville,1890,13
West End,1906,2
North Pointe,1952,3
Penrose,1959,5
Penrose,1928,7
Penrose,1927,1
Penrose,1952,1
Penrose,1926,4
Kingsway West,1965,4
Wells Goodfellow,1922,4
Baden,1924,1
Wells Goodfellow,1942,3
Baden,1926,4
Baden,1908,11
Wells Goodfellow,1925,1
Wells Goodfellow,1953,5
Tower Grove South,1915,3
Clayton-Tamm,1922,3
O'Fallon,1891,5
Wells Goodfellow,1904,3
North Hampton,1924,3
Baden,1911,3
Jeff Vanderlou,1890,4
O'Fallon,1905,9
Vandeventer,1890,5
Walnut Park West,1939,8
Wells Goodfellow,1905,6
Baden,1939,1
North Riverfront,1929,9
O'Fallon,1908,12
Greater Ville,1888,5
Kingsway East,1906,3
Tower Grove South,1922,4
Baden,1939,1
North Hampton,1941,2
Fairground Neighborhood,1902,17
O'Fallon,1905,7
Soulard,1885,1
Penrose,1961,2
Wells Goodfellow,1908,1
Wells Goodfellow,1904,3
Walnut Park East,1927,3
Walnut Park West,1936,1
Mark Twain,1919,2
Baden,1955,3
Walnut Park West,1960,1
Penrose,1925,2
Wells Goodfellow,1923,2
Wells Goodfellow,1905,6
Baden,1904,4
Walnut Park West,1930,4
Jeff Vanderlou,1928,4
Carondelet,1911,1
O'Fallon,1908,4
Greater Ville,1925,4
Penrose,1925,2
Kingsway West,1910,1
Wells Goodfellow,1953,3
Baden,1939,1
Tower Grove South,1926,2
West End,1905,19
O'Fallon,1890,5
Baden,1924,1
North Pointe,1955,1
Baden,1924,1
The Ville,1890,2
O'Fallon,1893,7
Greater Ville,1922,5
Kingsway West,1963,4
Walnut Park West,1940,1
Walnut Park East,1983,13
Mark Twain,1919,15
Kingsway East,1908,10
Benton Park West,1887,6
Jeff Vanderlou,1888,11
Jeff Vanderlou,1904,7
Dutchtown,1909,9
O'Fallon,1911,2
O'Fallon,1926,10
Greater Ville,1907,3
Vandeventer,1895,6
Fountain Park,1912,1
Vandeventer,1915,6
Penrose,1895,7
Penrose,1895,7
Wells Goodfellow,1926,2
Wells Goodfellow,1902,7
Skinker DeBaliviere,1914,8
Baden,1917,4
Mount Pleasant,1895,3
O'Fallon,1895,9
Kingsway West,1905,4
Penrose,1906,2
Walnut Park East,1915,3
Mark Twain,1926,17
Bevo Mill,1949,7
Hyde Park,1916,12
Baden,1924,1
Baden,1924,1
Wells Goodfellow,1911,8
Kingsway East,1896,9
West End,1950,11
Wells Goodfellow,1897,2
North Pointe,1936,1
Penrose,1926,1
The Ville,2005,8
Princeton Heights,1876,1
Hyde Park,1892,9
Kingsway East,1909,4
Penrose,1922,10
Walnut Park East,1928,16
West End,1972,3
Penrose,1910,16
Wells Goodfellow,1911,8
Kingsway East,1904,9
Mount Pleasant,1923,7
O'Fallon,1891,5
Baden,1939,9
Wells Goodfellow,1986,2
Wells Goodfellow,1912,1
Hyde Park,1870,22
Mount Pleasant,1902,4
Jeff Vanderlou,1880,11
O'Fallon,1964,2
Kingsway West,1925,12
Baden,1907,10
Southwest Garden,1900,9
O'Fallon,1890,5
Baden,1939,7
Penrose,1925,2
Penrose,1934,1
O'Fallon,1893,2
Jeff Vanderlou,1887,4
Academy,1898,6
Baden,1923,21
Marine Villa,1890,8
North Hampton,1935,6
Benton Park West,1901,2
O'Fallon,1914,1
Wells Goodfellow,1911,3
Baden,1948,1
North Hampton,1931,2
Forest Park South East,1897,1
Forest Park South East,1908,1
North Hampton,1926,1
Hi-Pointe,1908,1
O'Fallon,1908,7
Botanical Heights,1895,20
Benton Park,1890,4
O'Fallon,1926,2
Greater Ville,1911,5
Hamilton Heights,1908,2
Walnut Park West,1949,1
West End,1905,16
Fairground Neighborhood,1895,5
Kingsway East,1915,8
Wells Goodfellow,1927,11
Franz Park,1956,3
Baden,1953,4
South Hampton,1920,3
Benton Park West,1900,5
Hyde Park,1926,6
College Hill,1886,9
Dutchtown,1895,16
Carondelet,1907,9
Kingsway East,1892,4
Kingsway East,1892,4
Forest Park South East,1899,4
Tower Grove South,1925,2
Penrose,1907,2
Penrose,1911,2
Greater Ville,1928,2
Kingsway East,1937,2
Greater Ville,1911,2
Greater Ville,1926,4
Kingsway East,1885,4
Kingsway East,1904,5
Kingsway West,1913,5
Kingsway West,1903,11
Kingsway West,1905,4
Wells Goodfellow,1910,1
Wells Goodfellow,1909,2
Hi-Pointe,1910,6
Mark Twain,1922,4
Botanical Heights,1921,11
Wells Goodfellow,1928,2
College Hill,1909,13
Baden,1948,1
Baden,1930,4
Penrose,1958,2
Dutchtown,1910,3
Penrose,1926,3
Cheltenham,1926,3
North Pointe,1926,1
Kingsway West,1925,1
Tower Grove South,1914,2
Carondelet,1888,15
The Ville,1996,4
Forest Park South East,1955,8
Forest Park South East,1992,3
Cheltenham,1904,4
The Hill,1905,2
Baden,1919,1
Wells Goodfellow,1910,2
West End,1973,3
Penrose,1907,22
Walnut Park West,1928,9
Clayton-Tamm,1898,1
Bevo Mill,1920,2
North Pointe,1920,1
Baden,1949,3
Carondelet,1965,5
O'Fallon,1912,1
Fairground Neighborhood,1894,13
Greater Ville,1924,5
Tower Grove South,1911,2
Penrose,1899,2
O'Fallon,1907,5
O'Fallon,1916,1
Greater Ville,1913,1
Wells Goodfellow,1910,4
Kingsway West,1908,2
Baden,1902,4
Baden,1948,1
Baden,1949,1
Kingsway West,1925,1
North Pointe,1926,2
North Hampton,1942,1
Baden,1934,1
Baden,1948,1
Baden,1949,3
Clifton Heights,1956,2
Walnut Park East,1904,2
Walnut Park West,1928,2
Baden,1926,1
Hamilton Heights,1905,3
Penrose,1925,7
Greater Ville,1903,5
Greater Ville,1909,7
Walnut Park West,1931,2
South Hampton,1932,5
Baden,1941,3
Tower Grove South,1927,3
Benton Park West,1884,9
College Hill,1990,1
Tower Grove South,1888,2
Jeff Vanderlou,1894,3
Benton Park West,1926,1
College Hill,1895,8
Greater Ville,1911,5
Kingsway East,1912,6
Penrose,1915,2
Penrose,1927,5
Kingsway East,1910,4
Kingsway West,1909,2
Wells Goodfellow,1898,1
Wells Goodfellow,1919,2
Penrose,1927,7
Wells Goodfellow,1961,1
Wells Goodfellow,1912,5
Walnut Park East,1904,1
Walnut Park East,1959,2
Mark Twain,1925,1
Fairground Neighborhood,1886,1
Fairground Neighborhood,1922,1
The Ville,1902,4
Kingsway West,1915,2
Kingsway West,1909,2
Walnut Park West,1957,2
Walnut Park West,1950,4
Mount Pleasant,1908,2
Kingsway East,1890,5
Penrose,1933,2
Kingsway West,1906,4
Mark Twain,1922,1
Wells Goodfellow,1894,2
Walnut Park East,1923,2
Baden,1923,4
Dutchtown,1906,7
Patch,1888,7
O'Fallon,1899,11
Mark Twain,1971,10
Benton Park West,1902,5
Gravois Park,1885,10
Marine Villa,1909,5
Dutchtown,1908,4
Dutchtown,1898,6
Mount Pleasant,1892,2
College Hill,1884,3
Jeff Vanderlou,1905,15
Greater Ville,1906,5
Fountain Park,1908,11
Hamilton Heights,1912,1
Hamilton Heights,1911,10
Forest Park South East,1909,10
Penrose,1925,4
Penrose,1924,8
Penrose,1915,2
Penrose,1915,1
Penrose,1913,7
Penrose,1913,14
Penrose,1890,7
O'Fallon,1904,10
